name,#commits,first commit,last commit,project life time (d),#contributors,online,included,stars,URL
googollee/eviltransform,30,2016-06-10T05:47:59,2023-11-01T17:43:06,2700.496608796296,8,True,True,2345,https://github.com/googollee/eviltransform
guosheng/refinenet,30,2017-01-10T12:20:01,2019-06-01T05:40:48,871.7227662037037,2,True,True,582,https://github.com/guosheng/refinenet
happynear/AMSoftmax,30,2018-01-17T09:26:19,2018-08-03T02:13:09,197.6991898148148,3,True,True,479,https://github.com/happynear/AMSoftmax
happynear/FaceVerification,30,2017-02-20T19:02:29,2018-01-16T10:23:10,329.6393634259259,1,True,True,443,https://github.com/happynear/FaceVerification
hszhao/ICNet,6,2017-04-25T14:38:19,2022-04-15T20:06:52,1816.2281597222225,2,True,True,595,https://github.com/hszhao/ICNet
jbhuang0604/SelfExSR,29,2015-06-01T23:27:48,2016-05-31T16:29:23,364.7094328703704,1,True,True,579,https://github.com/jbhuang0604/SelfExSR
jindongwang/activityrecognition,24,2017-07-04T06:11:27,2019-08-20T05:46:36,776.9827430555556,2,True,True,900,https://github.com/jindongwang/activityrecognition
jtkim-kaist/VAD,30,2018-01-26T06:04:41,2021-06-09T07:28:56,1230.0585069444444,1,True,True,809,https://github.com/jtkim-kaist/VAD
kpzhang93/MTCNN_face_detection_alignment,23,2016-09-25T06:34:44,2022-10-11T07:35:47,2207.0423958333336,1,True,True,2777,https://github.com/kpzhang93/MTCNN_face_detection_alignment
kyamagu/mexopencv,30,2018-02-28T14:23:14,2018-10-07T21:03:18,221.2778240740741,1,True,True,653,https://github.com/kyamagu/mexopencv
liuziwei7/fashion-detection,9,2017-05-05T14:04:40,2021-10-09T02:24:08,1617.5135185185186,1,True,True,476,https://github.com/liuziwei7/fashion-detection
luanfujun/deep-photo-styletransfer,30,2017-03-28T02:59:22,2017-07-13T23:14:14,107.8436574074074,6,True,True,9970,https://github.com/luanfujun/deep-photo-styletransfer
mahmoudnafifi/Exposure_Correction,23,2020-04-19T18:51:04,2023-12-24T01:15:11,1343.2667476851852,1,True,True,463,https://github.com/mahmoudnafifi/Exposure_Correction
martin-danelljan/ECO,30,2017-04-26T19:29:40,2019-10-24T11:11:10,910.6538194444444,2,True,True,609,https://github.com/martin-danelljan/ECO
matlab2tikz/matlab2tikz,30,2017-12-18T13:35:35,2023-02-10T11:02:11,1879.8934722222225,10,True,True,1468,https://github.com/matlab2tikz/matlab2tikz
nanahou/Awesome-Speech-Enhancement,30,2020-07-06T01:35:54,2020-12-01T10:20:49,148.36452546296297,4,True,True,652,https://github.com/nanahou/Awesome-Speech-Enhancement
ox-vgg/vgg_face2,30,2018-10-02T15:08:59,2020-02-18T15:30:04,504.0146412037037,3,True,True,619,https://github.com/ox-vgg/vgg_face2
pdollar/edges,30,2014-07-09T00:28:19,2016-07-06T17:57:38,728.7286921296296,2,True,True,812,https://github.com/pdollar/edges
pdollar/toolbox,30,2014-10-24T22:15:07,2018-04-02T17:57:20,1255.8209837962963,3,True,True,833,https://github.com/pdollar/toolbox
peiyunh/tiny,30,2017-05-05T15:08:56,2020-03-21T02:04:29,1050.4552430555557,2,True,True,1125,https://github.com/peiyunh/tiny
personqianduixue/Math_Model,30,2022-05-06T04:42:43,2023-12-01T04:43:53,574.0008101851852,1,True,True,2564,https://github.com/personqianduixue/Math_Model
petercorke/robotics-toolbox-matlab,30,2020-02-23T00:48:46,2020-09-24T23:26:09,214.9426273148148,1,True,True,1168,https://github.com/petercorke/robotics-toolbox-matlab
piermorel/gramm,30,2018-02-14T13:22:22,2024-01-29T13:20:21,2174.998599537037,8,True,True,754,https://github.com/piermorel/gramm
rasmusbergpalm/DeepLearnToolbox,30,2013-11-21T17:31:31,2015-12-01T10:29:49,739.7071527777778,7,True,True,3756,https://github.com/rasmusbergpalm/DeepLearnToolbox
rbgirshick/rcnn,30,2014-03-17T06:17:31,2017-04-03T16:16:03,1113.4156481481482,1,True,True,2327,https://github.com/rbgirshick/rcnn
rbgirshick/voc-dpm,30,2012-10-27T17:45:15,2017-04-03T16:06:36,1618.9314930555556,1,True,True,576,https://github.com/rbgirshick/voc-dpm
rodralez/NaveGo,30,2022-06-16T13:29:11,2023-05-06T22:38:16,324.3813078703704,1,True,True,522,https://github.com/rodralez/NaveGo
rpng/kalibr_allan,14,2017-09-06T21:20:08,2019-02-13T19:03:55,524.9054050925926,1,True,True,550,https://github.com/rpng/kalibr_allan
sccn/eeglab,30,2024-02-06T23:22:50,2024-02-15T04:53:16,8.229467592592593,1,True,True,523,https://github.com/sccn/eeglab
schneems/Octave,28,2011-10-23T21:55:35,2016-07-08T20:45:40,1719.9514467592592,1,True,True,822,https://github.com/schneems/Octave
scottclowe/matlab-schemer,30,2016-04-25T17:22:41,2020-08-19T10:54:38,1576.7305208333332,1,True,True,1135,https://github.com/scottclowe/matlab-schemer
sfzhang15/SFD,30,2017-11-15T14:59:44,2018-10-17T15:02:15,336.0017476851852,1,True,True,520,https://github.com/sfzhang15/SFD
shahroudy/NTURGB-D,30,2019-05-16T10:07:56,2022-02-18T07:49:02,1008.9035416666668,3,True,True,678,https://github.com/shahroudy/NTURGB-D
shenshikexmu/IMUCalibration-Gesture,30,2019-12-04T15:04:23,2023-10-09T07:22:51,1404.679490740741,1,True,True,667,https://github.com/shenshikexmu/IMUCalibration-Gesture
torrvision/crfasrnn,30,2016-10-22T13:13:36,2019-11-30T13:17:38,1134.0028009259258,4,True,True,1335,https://github.com/torrvision/crfasrnn
trekhleb/machine-learning-octave,30,2018-10-31T10:10:36,2020-07-08T05:58:16,615.8247685185186,1,True,True,817,https://github.com/trekhleb/machine-learning-octave
willard-yuan/cnn-for-image-retrieval,30,2015-07-14T15:04:37,2021-01-05T04:45:05,2001.5697685185185,1,True,True,633,https://github.com/willard-yuan/cnn-for-image-retrieval
willard-yuan/hashing-baseline-for-image-retrieval,30,2015-06-11T00:30:01,2022-04-16T14:29:21,2501.5828703703705,2,True,True,605,https://github.com/willard-yuan/hashing-baseline-for-image-retrieval
xialeiliu/RankIQA,30,2017-08-02T15:55:13,2019-02-19T14:26:08,565.9381365740741,1,True,True,441,https://github.com/xialeiliu/RankIQA
xioTechnologies/Gait-Tracking-With-x-IMU,10,2013-07-22T20:57:19,2023-10-14T12:00:17,3735.627060185185,2,True,True,923,https://github.com/xioTechnologies/Gait-Tracking-With-x-IMU
yrlu/quadrotor,23,2017-05-07T19:38:43,2022-07-05T07:23:38,1884.489525462963,1,True,True,731,https://github.com/yrlu/quadrotor
yuanhao-cui/Must-Reading-on-ISAC,30,2021-07-20T03:47:52,2023-07-21T03:21:52,730.9819444444445,3,True,True,471,https://github.com/yuanhao-cui/Must-Reading-on-ISAC
zhoubolei/CAM,30,2016-04-11T22:28:06,2021-06-30T05:10:08,1905.2791898148148,3,True,True,1793,https://github.com/zhoubolei/CAM
zhouxc/Stanford-Machine-Learning-Course,3,2011-12-25T07:48:30,2011-12-25T10:01:12,0.0921527777777777,1,True,True,526,https://github.com/zhouxc/Stanford-Machine-Learning-Course
zk00006/OpenTLD,15,2011-04-06T22:56:37,2014-05-22T17:21:00,1141.7669328703705,1,True,True,2088,https://github.com/zk00006/OpenTLD
