Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717972154717,987006.4250488281,4700,1,0.30000000000000004,327736.12409973145,4700,1,0.30000000000000004,561814.599319458,4700,1,0.30000000000000004,359804.25425720215,4700,1,0.30000000000000004,360797.30171203613,4700,1,0.30000000000000004,354481.0649108887,4700,1,0.30000000000000004,359324.5136871338,4700,1,0.30000000000000004,365852.6492919922,4700,1,0.30000000000000004,359260.1079406738,4700,1,0.30000000000000004,322922.3869934082,4700,1,0.30000000000000004,320450.3286590576,4700,1,0.30000000000000004,341694.634185791,4700,1,0.30000000000000004,109055262.44544983,4690,400,400,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,4690,4683,400,4690,4685,400,0,4.1666669845581055,0,0,0,0,0,0,4.34782600402832,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,66480525312,2147479552,37290942464,0
199,1717972154718,987006.4268341064,4700,1,0.3062499999999999,327736.1250305176,4700,1,0.3062499999999999,561814.6002044678,4700,1,0.3062499999999999,359804.2557067871,4700,1,0.3062499999999999,360797.3126373291,4700,1,0.3062499999999999,354481.0668182373,4700,1,0.3062499999999999,359324.5237426758,4700,1,0.3062499999999999,365852.6505584717,4700,1,0.3062499999999999,359260.108795166,4700,1,0.3062499999999999,322922.39627075195,4700,1,0.3062499999999999,320450.33100891113,4700,1,0.3062499999999999,341694.6352844238,4700,1,0.3062499999999999,109055262.54277039,4690,400,400,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,4690,4683,400,4690,4685,400,0,4.1666669845581055,0,0,0,0,0,0,4.34782600402832,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,66480525312,2147479552,37294039040,0
199,1717972154918,987006.6725769043,4700,1,0.30000000000000004,327736.43894958496,4700,1,0.30000000000000004,561814.8876190186,4700,1,0.30000000000000004,359804.6205596924,4700,1,0.30000000000000004,360797.72187805176,4700,1,0.30000000000000004,354481.27734375,4700,1,0.30000000000000004,359324.7289276123,4700,1,0.30000000000000004,365852.8594970703,4700,1,0.30000000000000004,359260.3722381592,4700,1,0.30000000000000004,322923.25231933594,4700,1,0.30000000000000004,320450.6168823242,4700,1,0.30000000000000004,341694.8941040039,4700,1,0.30000000000000004,109055272.3513031,4690,400,400,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,4690,4683,400,4690,4685,400,4.761904716491699,22.72727394104004,5.555555820465088,10,0,4.761904716491699,23.809524536132813,4.761904716491699,4.761904716491699,0,5,0,0,0,4.761904716491699,9.523809432983398,4.761904716491699,4.761904716491699,4.761904716491699,0,0,90,0,5,66480525312,2147479552,37297860608,0
199,1717972155118,987006.8724517822,4700,1,0.30000000000000004,327736.8009490967,4700,1,0.30000000000000004,561815.2106933594,4700,1,0.30000000000000004,359804.89154052734,4700,1,0.30000000000000004,360797.98847961426,4700,1,0.30000000000000004,354481.65950012207,4700,1,0.30000000000000004,359325.0107421875,4700,1,0.30000000000000004,365853.1634979248,4700,1,0.30000000000000004,359260.6373901367,4700,1,0.30000000000000004,322924.22521972656,4700,1,0.30000000000000004,320450.99395751953,4700,1,0.30000000000000004,341695.2385406494,4700,1,0.30000000000000004,109055282.84403992,4690,400,400,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,4690,4683,400,4690,4685,400,9.523809432983398,5.263157844543457,10,10,13.636363983154297,10,5,5.263157844543457,5.263157844543457,5.263157844543457,5,10,5.263157844543457,9.523809432983398,0,20,10,25,5,10.526315689086914,18.18181800842285,100,14.285715103149414,20,66480525312,2147479552,37421047808,0
199,1717972155318,987007.308303833,4700,1,0.30000000000000004,327736.8836669922,4700,1,0.30000000000000004,561815.3890686035,4700,1,0.30000000000000004,359804.96672058105,4700,1,0.30000000000000004,360798.1050720215,4700,1,0.30000000000000004,354481.7037963867,4700,1,0.30000000000000004,359325.06730651855,4700,1,0.30000000000000004,365853.24714660645,4700,1,0.30000000000000004,359260.7787475586,4700,1,0.30000000000000004,322924.8293914795,4700,1,0.30000000000000004,320451.3974456787,4700,1,0.30000000000000004,341695.3193054199,4700,1,0.30000000000000004,109055291.36734009,4690,400,400,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,4690,4683,400,4690,4685,400,40,0,5,0,0,0,0,0,5,4.761904716491699,5.263157844543457,0,5.263157844543457,21.052631378173828,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,5,65,5,0,66480525312,2147479552,37411893248,0
199,1717972155518,987008.28465271,4700,1,0.30000000000000004,327736.8903503418,4700,1,0.30000000000000004,561815.5912475586,4700,1,0.30000000000000004,359804.9742279053,4700,1,0.30000000000000004,360798.1127166748,4700,1,0.30000000000000004,354481.710357666,4700,1,0.30000000000000004,359325.0864868164,4700,1,0.30000000000000004,365853.2537689209,4700,1,0.30000000000000004,359261.94343566895,4700,1,0.30000000000000004,322924.83570861816,4700,1,0.30000000000000004,320451.4136352539,4700,1,0.30000000000000004,341695.32568359375,4700,1,0.30000000000000004,109055300.1586914,4690,400,400,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,4690,4683,400,4690,4685,400,100,0,0,0,0,0,0,0,0,0,95.23809814453125,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,66480525312,2147479552,37417926656,0
199,1717972155718,987009.2601318359,4700,1,0.30000000000000004,327736.8970336914,4700,1,0.3062499999999999,561815.806716919,4700,1,0.3062499999999999,359804.9819641113,4700,1,0.30000000000000004,360798.1272583008,4700,1,0.30000000000000004,354481.7172241211,4700,1,0.3062499999999999,359325.1220550537,4700,1,0.3062499999999999,365853.2599334717,4700,1,0.3062499999999999,359263.16415405273,4700,1,0.3062499999999999,322924.85527038574,4700,1,0.3062499999999999,320451.42988586426,4700,1,0.3062499999999999,341695.3321533203,4700,1,0.3062499999999999,109055309.14198303,4690,400,400,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,4690,4683,400,4690,4685,400,100,0,0,0,0,0,0,0,0,0,95,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37421973504,0
199,1717972155918,987010.2388458252,4700,1,0.30000000000000004,327736.9031677246,4700,1,0.30000000000000004,561815.9221038818,4700,1,0.30000000000000004,359804.98931884766,4700,1,0.30000000000000004,360798.13360595703,4700,1,0.30000000000000004,354481.72340393066,4700,1,0.30000000000000004,359325.1456298828,4700,1,0.30000000000000004,365853.2770690918,4700,1,0.30000000000000004,359264.78939819336,4700,1,0.30000000000000004,322924.86155700684,4700,1,0.30000000000000004,320451.51737976074,4700,1,0.30000000000000004,341695.33988952637,4700,1,0.30000000000000004,109055318.5136261,4690,400,400,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,4690,4683,400,4690,4685,400,100,0,0,0,0,0,0,0,4.761904716491699,0,100,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,66480525312,2147479552,37423599616,0
199,1717972156118,987011.2157287598,4700,1,0.30000000000000004,327736.90950012207,4700,1,0.30000000000000004,561815.9363861084,4700,1,0.30000000000000004,359804.9967651367,4700,1,0.30000000000000004,360798.1408691406,4700,1,0.30000000000000004,354481.73236083984,4700,1,0.30000000000000004,359325.16860961914,4700,1,0.30000000000000004,365853.28326416016,4700,1,0.30000000000000004,359266.03578186035,4700,1,0.30000000000000004,322924.9250488281,4700,1,0.30000000000000004,320451.7216949463,4700,1,0.30000000000000004,341695.34619140625,4700,1,0.30000000000000004,109055327.57757568,4690,400,400,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,4690,4683,400,4690,4685,400,100,4.761904716491699,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,4.761904716491699,0,0,5,0,0,66480525312,2147479552,37429649408,0
199,1717972156319,987012.190612793,4700,1,0.30000000000000004,327736.94441223145,4700,1,0.30000000000000004,561816.0867004395,4700,1,0.30000000000000004,359805.0956726074,4700,1,0.30000000000000004,360798.16941833496,4700,1,0.30000000000000004,354481.7558288574,4700,1,0.30000000000000004,359325.9318084717,4700,1,0.30000000000000004,365853.32527160645,4700,1,0.30000000000000004,359266.66174316406,4700,1,0.30000000000000004,322925.62617492676,4700,1,0.30000000000000004,320451.8176879883,4700,1,0.30000000000000004,341695.6393737793,4700,1,0.30000000000000004,109055337.77671814,4690,400,400,400,4690,400,400,4690,400,400,400,400,400,400,400,400,400,400,4690,4683,400,4690,4685,400,100,0,0,0,0,0,0,0,4.761904716491699,0,0,14.285715103149414,0,0,0,0,0,0,47.36842346191406,0,44.4444465637207,35,0,15.789472579956055,66480525312,2147479552,37443588096,0
