Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1700833515218,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.8209228515625,43.2845344543457,44.657318115234375,43.52589416503906,44.591552734375,43.61588668823242,42.158599853515625,42.827842712402344,45.49739074707031,43.646934509277344,0,0,0,0,0,0,0,0,0,0,9.199380874633789,17179869184,2147483648,12163809280,529072128
204,1700833515218,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.8209228515625,43.2845344543457,44.657318115234375,43.52589416503906,44.591552734375,43.61588668823242,42.158599853515625,42.827842712402344,45.49739074707031,43.646934509277344,100,100,NaN,0,0,NaN,0,NaN,NaN,NaN,9.199380874633789,17179869184,2147483648,12166332416,529072128
