Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717978931193,995921.304397583,4700,1,0.30000000000000004,332676.1591949463,4700,1,0.30000000000000004,567481.8265380859,4700,1,0.30000000000000004,364934.6594543457,4700,1,0.30000000000000004,365710.7122955322,4700,1,0.30000000000000004,360447.7284851074,4700,1,0.30000000000000004,365299.39750671387,4700,1,0.30000000000000004,371924.2500305176,4700,1,0.30000000000000004,366845.5061645508,4700,1,0.30000000000000004,327590.6067199707,4700,1,0.30000000000000004,325710.17990112305,4700,1,0.30000000000000004,346723.28146362305,4700,1,0.30000000000000004,109346849.58091736,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,0,3.5714287757873535,0,0,0,0,0,0,3.7037036418914795,0,0,100,0,0,3.5714287757873535,0,0,0,3.7037036418914795,0,0,0,0,0,66480525312,2147479552,37237637120,0
199,1717978931194,995921.3063659668,4700,1,0.30000000000000004,332676.16047668457,4700,1,0.3062499999999999,567481.8280029297,4700,1,0.3062499999999999,364934.66358947754,4700,1,0.30000000000000004,365710.714553833,4700,1,0.30000000000000004,360447.7401275635,4700,1,0.30000000000000004,365299.4125671387,4700,1,0.30000000000000004,371924.2532043457,4700,1,0.30000000000000004,366845.507522583,4700,1,0.3062499999999999,327590.6162109375,4700,1,0.3062499999999999,325710.181640625,4700,1,0.3062499999999999,346723.28297424316,4700,1,0.3062499999999999,109346849.68638611,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,0,3.5714287757873535,0,0,0,0,0,0,3.7037036418914795,0,0,100,0,0,3.5714287757873535,0,0,0,3.7037036418914795,0,0,0,0,0,66480525312,2147479552,37240733696,0
199,1717978931394,995921.4407958984,4700,1,0.30000000000000004,332676.32746887207,4700,1,0.30000000000000004,567481.9504547119,4700,1,0.30000000000000004,364934.9735107422,4700,1,0.30000000000000004,365710.8182525635,4700,1,0.30000000000000004,360447.8479614258,4700,1,0.30000000000000004,365299.5447692871,4700,1,0.30000000000000004,371924.3246765137,4700,1,0.30000000000000004,366845.7188568115,4700,1,0.30000000000000004,327591.51205444336,4700,1,0.30000000000000004,325710.3872375488,4700,1,0.30000000000000004,346723.49641418457,4700,1,0.30000000000000004,109346858.83891296,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,5,20,0,4.761904716491699,0,5,0,4.761904716491699,9.523809432983398,4.761904716491699,0,15.000000953674316,0,0,0,0,0,0,9.090909004211426,9.090909004211426,5,76.19047546386719,10,0,66480525312,2147479552,37249400832,0
199,1717978931594,995921.4890899658,4700,1,0.30000000000000004,332676.461227417,4700,1,0.30000000000000004,567482.0523071289,4700,1,0.30000000000000004,364934.98864746094,4700,1,0.30000000000000004,365710.85791015625,4700,1,0.30000000000000004,360447.86140441895,4700,1,0.30000000000000004,365299.5782928467,4700,1,0.30000000000000004,371924.341217041,4700,1,0.30000000000000004,366845.87411499023,4700,1,0.30000000000000004,327592.4449005127,4700,1,0.30000000000000004,325710.4973297119,4700,1,0.30000000000000004,346723.7046813965,4700,1,0.30000000000000004,109346866.97640991,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,5,20,0,4.761904716491699,0,5,0,4.761904716491699,9.523809432983398,4.761904716491699,0,15.000000953674316,0,0,0,0,0,0,9.090909004211426,9.090909004211426,5,76.19047546386719,10,0,66480525312,2147479552,37249900544,0
199,1717978931794,995921.5023651123,4700,1,0.30000000000000004,332676.6098937988,4700,1,0.30000000000000004,567482.1189880371,4700,1,0.30000000000000004,364935.00050354004,4700,1,0.30000000000000004,365711.0809173584,4700,1,0.30000000000000004,360447.8920440674,4700,1,0.30000000000000004,365299.60676574707,4700,1,0.30000000000000004,371924.3883666992,4700,1,0.30000000000000004,366846.0245513916,4700,1,0.30000000000000004,327593.3451538086,4700,1,0.30000000000000004,325710.605758667,4700,1,0.30000000000000004,346723.8148956299,4700,1,0.30000000000000004,109346875.26715088,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,0,0,0,0,0,0,0,0,0,0,0,0,2.5641026496887207,2.5,0,0,0,2.5,0,0,0,100,0,0,66480525312,2147479552,37253214208,0
199,1717978931994,995921.746307373,4700,1,0.30000000000000004,332676.86097717285,4700,1,0.30000000000000004,567482.3944091797,4700,1,0.30000000000000004,364935.2268066406,4700,1,0.30000000000000004,365711.4382324219,4700,1,0.30000000000000004,360448.09211730957,4700,1,0.30000000000000004,365299.8737640381,4700,1,0.30000000000000004,371924.71768188477,4700,1,0.30000000000000004,366846.2348327637,4700,1,0.30000000000000004,327594.3070526123,4700,1,0.30000000000000004,325710.8644104004,4700,1,0.30000000000000004,346724.04093933105,4700,1,0.30000000000000004,109346885.52264404,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,10,5,13.636363983154297,5.263157844543457,0,14.285715103149414,5.263157844543457,0,15.000000953674316,5.263157844543457,13.636363983154297,10,5,10,5,0,5.263157844543457,10,13.636363983154297,20,14.285715103149414,95,9.523809432983398,5.263157844543457,66480525312,2147479552,37323202560,0
199,1717978932194,995921.9069824219,4700,1,0.30000000000000004,332677.05323791504,4700,1,0.30000000000000004,567482.4741973877,4700,1,0.30000000000000004,364935.4284210205,4700,1,0.30000000000000004,365711.60679626465,4700,1,0.30000000000000004,360448.2518463135,4700,1,0.30000000000000004,365299.9994659424,4700,1,0.30000000000000004,371924.86457824707,4700,1,0.30000000000000004,366847.169052124,4700,1,0.30000000000000004,327594.4507598877,4700,1,0.30000000000000004,325710.90592956543,4700,1,0.30000000000000004,346724.07789611816,4700,1,0.30000000000000004,109346893.96984863,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,9.523809432983398,0,5,0,5,5.263157844543457,10,0,0,9.523809432983398,100,0,9.090909004211426,0,0,0,0,5,5,0,0,0,0,0,66480525312,2147479552,37360353280,0
199,1717978932395,995922.0517578125,4700,1,0.30000000000000004,332677.23767089844,4700,1,0.30000000000000004,567482.5320892334,4700,1,0.30000000000000004,364936.02963256836,4700,1,0.30000000000000004,365711.7384033203,4700,1,0.30000000000000004,360448.3405761719,4700,1,0.30000000000000004,365300.09761047363,4700,1,0.30000000000000004,371925.1544036865,4700,1,0.30000000000000004,366848.10427856445,4700,1,0.30000000000000004,327594.5950012207,4700,1,0.30000000000000004,325710.9567260742,4700,1,0.30000000000000004,346724.1323852539,4700,1,0.30000000000000004,109346903.0894165,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,9.523809432983398,5,0,0,0,47.36842346191406,5,0,5,0,100,0,5,0,0,4.761904716491699,0,5,0,14.285715103149414,0,5,0,0,66480525312,2147479552,37334421504,0
199,1717978932595,995922.059753418,4700,1,0.30000000000000004,332677.2557067871,4700,1,0.30000000000000004,567482.5500946045,4700,1,0.30000000000000004,364937.22761535645,4700,1,0.30000000000000004,365711.7593688965,4700,1,0.30000000000000004,360448.3476409912,4700,1,0.30000000000000004,365300.1272277832,4700,1,0.30000000000000004,371925.17974853516,4700,1,0.30000000000000004,366849.03845214844,4700,1,0.30000000000000004,327594.7963104248,4700,1,0.30000000000000004,325710.9845275879,4700,1,0.30000000000000004,346724.1411743164,4700,1,0.30000000000000004,109346912.02786255,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,0,0,0,0,0,90.47618865966797,0,0,0,0,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37340278784,0
199,1717978932795,995922.06690979,4700,1,0.3062499999999999,332677.4331665039,4700,1,0.3062499999999999,567482.5960998535,4700,1,0.3062499999999999,364938.6394958496,4700,1,0.3062499999999999,365711.7667541504,4700,1,0.3062499999999999,360448.3540649414,4700,1,0.3062499999999999,365300.1467590332,4700,1,0.3062499999999999,371925.23667907715,4700,1,0.3062499999999999,366849.97091674805,4700,1,0.3062499999999999,327594.8098449707,4700,1,0.3062499999999999,325710.99183654785,4700,1,0.3062499999999999,346724.1489868164,4700,1,0.3062499999999999,109346921.15757751,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,0,0,0,0,0,95,0,0,0,0,100,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,66480525312,2147479552,37344247808,0
199,1717978932995,995922.0736083984,4700,1,0.30000000000000004,332677.44776916504,4700,1,0.30000000000000004,567482.6026153564,4700,1,0.30000000000000004,364940.3490142822,4700,1,0.30000000000000004,365711.774520874,4700,1,0.30000000000000004,360448.3603820801,4700,1,0.30000000000000004,365300.1641998291,4700,1,0.30000000000000004,371925.24382019043,4700,1,0.30000000000000004,366850.90730285645,4700,1,0.30000000000000004,327594.83377075195,4700,1,0.30000000000000004,325711.0001525879,4700,1,0.30000000000000004,346724.15519714355,4700,1,0.30000000000000004,109346930.35075378,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,66480525312,2147479552,37345615872,0
199,1717978933195,995922.0878295898,4700,1,0.3062499999999999,332677.5640106201,4700,1,0.3062499999999999,567482.6220703125,4700,1,0.3062499999999999,364941.1854400635,4700,1,0.3062499999999999,365712.1853027344,4700,1,0.3062499999999999,360448.3801269531,4700,1,0.3062499999999999,365300.19606018066,4700,1,0.3062499999999999,371925.2619934082,4700,1,0.3062499999999999,366851.84156799316,4700,1,0.3062499999999999,327594.84494018555,4700,1,0.3062499999999999,325711.01679992676,4700,1,0.3062499999999999,346724.1675720215,4700,1,0.3062499999999999,109346939.34783936,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,0,0,0,0,0,68.42105102539063,26.3157901763916,4.761904716491699,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37354774528,0
199,1717978933395,995922.2804412842,4700,1,0.3062499999999999,332677.7876586914,4700,1,0.3062499999999999,567482.6807861328,4700,1,0.3062499999999999,364941.4485015869,4700,1,0.3062499999999999,365712.579498291,4700,1,0.3062499999999999,360448.92932128906,4700,1,0.3062499999999999,365300.22775268555,4700,1,0.3062499999999999,371925.3147583008,4700,1,0.3062499999999999,366852.76779174805,4700,1,0.3062499999999999,327595.15017700195,4700,1,0.3062499999999999,325712.0738067627,4700,1,0.3062499999999999,346724.32958984375,4700,1,0.3062499999999999,109346950.05987549,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,10.526315689086914,5.263157844543457,4.761904716491699,0,0,5,19.047618865966797,5,0,0,100,28.571430206298828,10,52.38095474243164,0,0,0,42.85714340209961,0,0,0,0,18.18181800842285,10,66480525312,2147479552,37370478592,0
199,1717978933595,995922.333694458,4700,1,0.3062499999999999,332678.0076751709,4700,1,0.3062499999999999,567482.7297973633,4700,1,0.3062499999999999,364941.73794555664,4700,1,0.3062499999999999,365712.70796203613,4700,1,0.3062499999999999,360450.07247924805,4700,1,0.3062499999999999,365300.2956542969,4700,1,0.3062499999999999,371925.3713684082,4700,1,0.3062499999999999,366853.70306396484,4700,1,0.3062499999999999,327595.26432800293,4700,1,0.3062499999999999,325712.1107940674,4700,1,0.3062499999999999,346724.3673248291,4700,1,0.3062499999999999,109346959.71517944,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,0,0,0,0,0,15.789472579956055,5,72.7272720336914,0,0,100,5.263157844543457,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37389549568,0
199,1717978933795,995922.3410797119,4700,1,0.30000000000000004,332678.0931854248,4700,1,0.30000000000000004,567482.7364196777,4700,1,0.30000000000000004,364941.74601745605,4700,1,0.30000000000000004,365712.7182312012,4700,1,0.30000000000000004,360451.24603271484,4700,1,0.30000000000000004,365300.31617736816,4700,1,0.30000000000000004,371925.37797546387,4700,1,0.30000000000000004,366854.6398925781,4700,1,0.30000000000000004,327595.29067993164,4700,1,0.30000000000000004,325712.11769104004,4700,1,0.30000000000000004,346724.3747558594,4700,1,0.30000000000000004,109346968.69978333,4689,4690,400,400,400,400,400,400,400,400,400,4690,4689,400,4688,400,400,4690,400,400,400,4691,4690,400,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,66480525312,2147479552,37397655552,0
