Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717977002689,993709.7152252197,4700,1,0.30000000000000004,331339.24169921875,4700,1,0.30000000000000004,565527.6744995117,4700,1,0.30000000000000004,363668.7016296387,4700,1,0.30000000000000004,364219.2084655762,4700,1,0.30000000000000004,358486.78062438965,4700,1,0.30000000000000004,363729.70362854004,4700,1,0.30000000000000004,370151.5516052246,4700,1,0.30000000000000004,364843.7984313965,4700,1,0.30000000000000004,326254.13987731934,4700,1,0.30000000000000004,324003.25604248047,4700,1,0.30000000000000004,345329.4910583496,4700,1,0.30000000000000004,109263890.95552063,4690,400,400,400,400,4690,400,400,400,400,400,400,4689,4690,400,4689,4690,400,400,400,400,400,400,4685,100,4.34782600402832,0,0,0,0,4.34782600402832,0,0,0,0,0,0,0,4.34782600402832,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37336489984,0
199,1717977002690,993709.7255249023,4700,1,0.30000000000000004,331339.2433013916,4700,1,0.3062499999999999,565527.6764984131,4700,1,0.3062499999999999,363668.7028198242,4700,1,0.30000000000000004,364219.2095336914,4700,1,0.30000000000000004,358486.7833251953,4700,1,0.30000000000000004,363729.70611572266,4700,1,0.30000000000000004,370151.5538482666,4700,1,0.30000000000000004,364843.8002166748,4700,1,0.30000000000000004,326254.1424255371,4700,1,0.30000000000000004,324003.27069091797,4700,1,0.30000000000000004,345329.5059967041,4700,1,0.30000000000000004,109263891.05900574,4690,400,400,400,400,4690,400,400,400,400,400,400,4689,4690,400,4689,4690,400,400,400,400,400,400,4685,100,4.34782600402832,0,0,0,0,4.34782600402832,0,0,0,0,0,0,0,4.34782600402832,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37339586560,0
199,1717977002890,993710.6661529541,4700,1,0.30000000000000004,331339.439453125,4700,1,0.30000000000000004,565527.9735412598,4700,1,0.30000000000000004,363668.8275909424,4700,1,0.30000000000000004,364219.4797821045,4700,1,0.30000000000000004,358487.0029449463,4700,1,0.30000000000000004,363729.8631286621,4700,1,0.30000000000000004,370151.7131958008,4700,1,0.30000000000000004,364843.9669494629,4700,1,0.30000000000000004,326254.3011627197,4700,1,0.30000000000000004,324003.40478515625,4700,1,0.30000000000000004,345329.7077636719,4700,1,0.30000000000000004,109263900.27468872,4690,400,400,400,400,4690,400,400,400,400,400,400,4689,4690,400,4689,4690,400,400,400,400,400,400,4685,0,9.523809432983398,10,15.000000953674316,95,0,0,5,0,4.761904716491699,4.761904716491699,0,4.761904716491699,9.523809432983398,5,9.523809432983398,4.761904716491699,0,0,0,9.523809432983398,5,4.761904716491699,9.523809432983398,66480525312,2147479552,37348810752,0
199,1717977003090,993711.6198425293,4700,1,0.30000000000000004,331339.4776763916,4700,1,0.30000000000000004,565528.1523590088,4700,1,0.30000000000000004,363668.8475494385,4700,1,0.30000000000000004,364219.53871154785,4700,1,0.30000000000000004,358487.198135376,4700,1,0.30000000000000004,363729.87518310547,4700,1,0.30000000000000004,370151.7233734131,4700,1,0.30000000000000004,364844.10121154785,4700,1,0.30000000000000004,326254.32218933105,4700,1,0.30000000000000004,324003.49365234375,4700,1,0.30000000000000004,345329.7878417969,4700,1,0.30000000000000004,109263908.32318115,4690,400,400,400,400,4690,400,400,400,400,400,400,4689,4690,400,4689,4690,400,400,400,400,400,400,4685,4.761904716491699,0,0,0,95,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,66480525312,2147479552,37351112704,0
199,1717977003291,993712.6014099121,4700,1,0.3125,331339.68406677246,4700,1,0.3125,565528.4314575195,4700,1,0.3125,363669.03913879395,4700,1,0.3125,364219.7698059082,4700,1,0.3125,358487.6107940674,4700,1,0.3125,363730.0769805908,4700,1,0.3125,370151.90534973145,4700,1,0.3125,364844.35066223145,4700,1,0.3125,326254.495803833,4700,1,0.3125,324003.66242980957,4700,1,0.3125,345330.01721191406,4700,1,0.3125,109263918.1927185,4690,400,400,400,400,4690,400,400,400,400,400,400,4689,4690,400,4689,4690,400,400,400,400,400,400,4685,10,5.263157844543457,15.000000953674316,9.523809432983398,95,13.636363983154297,5.263157844543457,10,9.523809432983398,9.523809432983398,5.263157844543457,5,5,4.761904716491699,9.523809432983398,5,0,14.285715103149414,10,10,17.39130401611328,10,10,14.285715103149414,66480525312,2147479552,37440290816,0
199,1717977003490,993713.5920257568,4700,1,0.30000000000000004,331339.89125061035,4700,1,0.30000000000000004,565528.5219116211,4700,1,0.30000000000000004,363669.1323699951,4700,1,0.30000000000000004,364220.01371765137,4700,1,0.30000000000000004,358487.8335571289,4700,1,0.30000000000000004,363730.22177124023,4700,1,0.30000000000000004,370152.1436767578,4700,1,0.30000000000000004,364844.4605407715,4700,1,0.30000000000000004,326254.6026916504,4700,1,0.30000000000000004,324003.903717041,4700,1,0.30000000000000004,345330.2566680908,4700,1,0.30000000000000004,109263927.26074219,4690,400,400,400,400,4690,400,400,400,400,400,400,4689,4690,400,4689,4690,400,400,400,400,400,400,4685,10,5.263157844543457,15.000000953674316,9.523809432983398,95,13.636363983154297,5.263157844543457,10,9.523809432983398,9.523809432983398,5.263157844543457,5,5,4.761904716491699,9.523809432983398,5,0,14.285715103149414,10,10,17.39130401611328,10,10,14.285715103149414,66480525312,2147479552,37459451904,0
199,1717977003690,993714.580581665,4700,1,0.30000000000000004,331340.6713409424,4700,1,0.30000000000000004,565528.6551513672,4700,1,0.30000000000000004,363669.1435546875,4700,1,0.30000000000000004,364220.1654205322,4700,1,0.30000000000000004,358487.9154205322,4700,1,0.30000000000000004,363730.2673339844,4700,1,0.30000000000000004,370152.36264038086,4700,1,0.30000000000000004,364844.51948547363,4700,1,0.30000000000000004,326254.73698425293,4700,1,0.30000000000000004,324004.03343200684,4700,1,0.30000000000000004,345330.3303375244,4700,1,0.30000000000000004,109263936.32369995,4690,400,400,400,400,4690,400,400,400,400,400,400,4689,4690,400,4689,4690,400,400,400,400,400,400,4685,62.5,4.878048419952393,25,2.5641026496887207,36.585365295410156,0,4.878048419952393,2.5,2.5,0,0,2.5,2.5641026496887207,5,0,14.634145736694336,2.5,0,0,2.5,0,2.5641026496887207,7.317072868347168,9.756096839904785,66480525312,2147479552,37458235392,0
199,1717977003891,993715.567199707,4700,1,0.30000000000000004,331341.819442749,4700,1,0.30000000000000004,565528.6784362793,4700,1,0.30000000000000004,363669.15798950195,4700,1,0.30000000000000004,364220.22845458984,4700,1,0.30000000000000004,358487.9289703369,4700,1,0.30000000000000004,363730.2739562988,4700,1,0.30000000000000004,370152.5058746338,4700,1,0.30000000000000004,364844.5367126465,4700,1,0.30000000000000004,326254.74349975586,4700,1,0.30000000000000004,324004.0584411621,4700,1,0.30000000000000004,345330.3372955322,4700,1,0.30000000000000004,109263945.41326904,4690,400,400,400,400,4690,400,400,400,400,400,400,4689,4690,400,4689,4690,400,400,400,400,400,400,4685,0,0,0,0,100,0,5,0,0,0,0,0,0,0,0,94.73684692382813,0,0,0,0,0,4.761904716491699,0,0,66480525312,2147479552,37464391680,0
199,1717977004091,993716.5472412109,4700,1,0.30000000000000004,331343.2247772217,4700,1,0.30000000000000004,565528.6858215332,4700,1,0.30000000000000004,363669.16552734375,4700,1,0.30000000000000004,364220.29666137695,4700,1,0.30000000000000004,358487.93534851074,4700,1,0.30000000000000004,363730.28047180176,4700,1,0.30000000000000004,370152.73753356934,4700,1,0.30000000000000004,364844.5428619385,4700,1,0.30000000000000004,326254.75036621094,4700,1,0.30000000000000004,324004.0743408203,4700,1,0.30000000000000004,345330.34437561035,4700,1,0.30000000000000004,109263954.70542908,4690,400,400,400,400,4690,400,400,400,400,400,400,4689,4690,400,4689,4690,400,400,400,400,400,400,4685,0,0,80.95238494873047,0,100,0,0,0,0,0,0,0,0,4.761904716491699,0,5.263157844543457,0,0,0,0,0,0,0,0,66480525312,2147479552,37467426816,0
199,1717977004291,993717.5328521729,4700,1,0.30000000000000004,331344.81315612793,4700,1,0.30000000000000004,565528.6923980713,4700,1,0.30000000000000004,363669.1745147705,4700,1,0.30000000000000004,364220.30433654785,4700,1,0.30000000000000004,358487.9415130615,4700,1,0.30000000000000004,363730.28674316406,4700,1,0.30000000000000004,370152.9659423828,4700,1,0.30000000000000004,364844.54914855957,4700,1,0.30000000000000004,326254.7567138672,4700,1,0.30000000000000004,324004.09312438965,4700,1,0.30000000000000004,345330.3513031006,4700,1,0.30000000000000004,109263964.02914429,4690,400,400,400,400,4690,400,400,400,400,400,400,4689,4690,400,4689,4690,400,400,400,400,400,400,4685,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,66480525312,2147479552,37470699520,0
